seq,name/first,name/last,age,street,city,state,zip,dollar,pick,date
1,Nicholas,Arnold,48,Agke Grove,Kecozum,WA,90872,$5961.81,RED,05/17/2014
2,Nannie,Bates,59,Silto Turnpike,Nicogsuz,SC,61254,$4225.79,WHITE,09/26/1952
3,Sophie,Wilson,63,Pudki Junction,Paewtu,WI,14117,$4182.67,RED,04/25/1902
4,Kate,Moore,36,Kozak Court,Awitebgi,MT,61236,$821.34,GREEN,06/18/2016
5,Chad,Valdez,19,Keem Place,Geustec,DC,82807,$2774.36,BLUE,06/24/2006
6,Claudia,Richardson,64,Kamdi Path,Etukiran,DE,30302,$4560.81,RED,09/21/1978
7,Donald,Robertson,59,Fifcu Avenue,Rikbuoli,SC,69392,$7905.43,WHITE,01/27/2011
8,Katherine,Osborne,34,Uneri Circle,Lisofol,ID,03935,$5424.86,GREEN,04/24/2041
9,Hattie,Roberts,20,Goasa Trail,Larnibem,GA,58184,$852.30,BLUE,11/13/1924
10,Olivia,Wood,46,Elti Glen,Fecuzzil,NM,38307,$8312.32,RED,12/22/1943
11,Susie,Maldonado,56,Mecu Center,Imanehnah,VT,78617,$2478.43,WHITE,04/26/1974
12,Allen,Beck,21,Wavhe Trail,Libdadla,SD,43799,$9819.44,WHITE,03/11/1912
13,Sylvia,Reid,28,Ulisa Drive,Ohuvoize,AR,92171,$7094.89,WHITE,01/25/1927
14,Ora,Barnett,59,Docdij Lane,Epevaroz,ID,80688,$764.58,WHITE,03/03/1942
15,Cole,Becker,18,Zibu Mill,Siwawub,NC,73731,$6438.12,GREEN,02/22/1965
16,Shawn,Gonzales,48,Vekavo Center,Iresenev,AL,87404,$181.09,WHITE,03/11/2032
17,Blake,Cannon,45,Ajugul River,Vussukuv,OH,05351,$4383.11,YELLOW,01/07/2069
18,Fannie,McLaughlin,25,Wenis Heights,Oknefok,CA,36167,$6303.85,RED,05/13/1934
19,Arthur,Mullins,59,Opaze Junction,Bapiwim,AL,22207,$2597.88,GREEN,02/27/2019
20,Sue,Sandoval,63,Rojsah Extension,Cujeapu,ND,43424,$8665.67,BLUE,04/07/1930
21,Winnie,Torres,50,Jiji Street,Emfajav,CT,83673,$6534.17,RED,08/25/1960
22,Melvin,Martin,60,Uzelag Way,Ejheeh,NH,52639,$3601.41,GREEN,09/27/1929
23,Irene,Banks,42,Ihisub Mill,Himdulsiv,MD,51812,$2539.80,BLUE,06/01/1983
24,Willie,Miles,47,Jimmu Boulevard,Icotopro,VA,61213,$4340.25,RED,10/02/2014
25,Kevin,Obrien,65,Ulhis Turnpike,Zihwukam,NE,58949,$3737.48,YELLOW,11/23/1919
26,Inez,Figueroa,21,Hutow Circle,Ulegobe,SD,76428,$3583.79,YELLOW,03/12/2058
27,Mable,Ford,62,Nazod Road,Bakeel,PA,37120,$4962.50,GREEN,12/15/1944
28,Douglas,Banks,18,Wijwo Junction,Fuobcu,FL,08998,$1483.35,WHITE,05/09/1967
29,Lettie,Bridges,62,Aztaf River,Illago,AL,91275,$5461.24,YELLOW,11/21/1920
30,Barbara,Herrera,44,Teiw Ridge,Lucgeco,GA,30607,$3440.06,YELLOW,05/23/1903
31,Henry,Burgess,22,Liji Park,Vapebus,IL,81153,$4429.11,BLUE,05/11/2032
32,Bettie,Floyd,31,Sehe Trail,Zecdipo,NE,85512,$7352.03,GREEN,11/03/2047
33,Nellie,Vargas,63,Torvup Street,Maawijel,OR,66836,$772.70,GREEN,03/10/1923
34,George,Cunningham,64,Senise Drive,Cutzutre,HI,76268,$2795.56,YELLOW,04/03/2007
35,Caleb,Kelly,29,Afcis Heights,Agworta,MD,44160,$1706.92,BLUE,07/09/2020
36,Oscar,Washington,64,Kugjum Parkway,Ebliih,AK,06668,$5161.27,RED,07/08/1996
37,Alan,Watkins,31,Funof Boulevard,Pogindu,MD,86360,$3933.72,BLUE,03/08/1948
38,Bryan,Carson,24,Obero Loop,Micdepmap,DE,85709,$8788.14,BLUE,02/15/1978
39,Eunice,Norman,50,Wulzo Parkway,Wiwijda,WI,27493,$3499.99,GREEN,01/30/1906
40,Rachel,Gross,51,Getcu View,Selmepe,OK,71974,$8363.80,RED,04/14/2064
41,Troy,Lucas,35,Boof Center,Vuolirod,NJ,10914,$3298.78,GREEN,01/26/2022
42,Melvin,Watkins,24,Wada Terrace,Fajazo,VA,30132,$7833.04,RED,07/31/2026
43,Willie,Pope,46,Gohe Pike,Dalmaez,TX,13589,$1100.14,GREEN,03/29/1976
44,Thomas,Burke,55,Fuwo Park,Guekfac,KS,88147,$3402.99,BLUE,03/06/2067
45,Clayton,Sims,39,Zeos Way,Tenfigcet,ID,57146,$8960.44,YELLOW,04/21/2030
46,Agnes,Kelley,55,Oppi Circle,Ujpowco,NH,40529,$8745.46,RED,12/08/1917
47,Bernard,Vasquez,47,Kagoh Court,Wigumfem,NY,60089,$4909.58,BLUE,04/12/1989
48,Maurice,Ortiz,23,Cabzuh Terrace,Bepawipi,AR,38485,$7300.89,GREEN,11/16/2013
49,Elmer,Porter,48,Fulo Park,Ahloman,NE,49537,$5074.98,GREEN,07/17/2001
50,Lois,Olson,48,Mivmoz Center,Kieniwa,NH,14502,$5545.55,RED,09/03/2016
51,Jimmy,Lindsey,33,Hijilo Road,Alulor,MD,74823,$6863.30,RED,11/25/2056
52,Esther,Fitzgerald,29,Dezfu View,Defukat,TX,54936,$5754.72,GREEN,05/18/1956
53,Estella,Warner,28,Ebese Path,Pedwulo,MD,83385,$4763.26,YELLOW,02/01/1915
54,Juan,Burton,50,Usre Place,Wehzecuk,KS,25637,$5219.13,WHITE,09/10/1932
55,Owen,Francis,59,Mabsu Manor,Sujuzpab,NH,03023,$2868.65,WHITE,07/22/1945
56,Frederick,Hudson,18,Aleuc Way,Ukeahcu,WY,77817,$2692.58,GREEN,07/13/2001
57,Julia,Fowler,30,Wurwub Junction,Gucojima,MO,13896,$6761.52,YELLOW,05/06/1901
58,Hunter,Terry,55,Cotunu Heights,Notfeva,HI,78615,$2987.07,WHITE,11/07/2066
59,Allen,Fitzgerald,44,Motuf Avenue,Awaedameb,AK,81396,$4261.08,GREEN,05/11/2049
60,Tommy,Powell,49,Beac Key,Teuvalof,MO,79974,$7230.36,BLUE,05/12/2027
61,Lee,Wood,42,Vagab Parkway,Averebi,CA,62548,$6303.49,GREEN,10/14/1983
62,Carl,Rodriquez,58,Vecpo Trail,Woduup,NV,27927,$5960.64,YELLOW,01/20/2046
63,Joshua,Greene,60,Pecofi Way,Juubrun,NM,15245,$5861.60,BLUE,01/21/2028
64,Eleanor,Christensen,31,Focup Loop,Gadcilma,PA,27779,$983.13,RED,02/11/1955
